image_path,label
data_for_train_model\text_0.png,Energi 120 kkal
data_for_train_model\text_1.png,Lemak total 2.50 g
data_for_train_model\text_2.png,Lemak jenuh 2 g
data_for_train_model\text_3.png,Gula 17 g
data_for_train_model\text_4.png,Karbohidrat total 23 g
data_for_train_model\text_5.png,Protein 1 g
data_for_train_model\text_6.png,Serat pangan 2 g
data_for_train_model\text_7.png,Natrium 20 mg
data_for_train_model\text_8.png,Energi 130 kkal
data_for_train_model\text_9.png,Lemak total 2.50 g
data_for_train_model\text_10.png,Karbohidrat total 27 g
data_for_train_model\text_11.png,Protein 1 g
data_for_train_model\text_12.png,Natrium 15 mg
data_for_train_model\text_13.png,Jumlah Per Sajian (250 ml)
data_for_train_model\text_14.png,Energi 140 kkal
data_for_train_model\text_15.png,Lemak total 0 g
data_for_train_model\text_16.png,Karbohidrat total 34 g
data_for_train_model\text_17.png,Protein 0 g
data_for_train_model\text_18.png,Natrium 0 mg
data_for_train_model\text_19.png,Jumlah Per Sajian (250 ml)
data_for_train_model\text_20.png,Energi 160 kkal
data_for_train_model\text_21.png,Lemak total 0 g
data_for_train_model\text_22.png,Karbohidrat total 36 g
data_for_train_model\text_23.png,Protein 2 g
data_for_train_model\text_24.png,Natrium 0 mg
data_for_train_model\text_25.png,Jumlah Per Sajian (46 g)
data_for_train_model\text_26.png,Energi 190 kkal
data_for_train_model\text_27.png,Lemak total 4.50 g
data_for_train_model\text_28.png,Karbohidrat total 28 g
data_for_train_model\text_29.png,Protein 9 g
data_for_train_model\text_30.png,Natrium 160 mg
data_for_train_model\text_31.png,Jumlah Per Sajian (189 g)
data_for_train_model\text_32.png,Energi 120 kkal
data_for_train_model\text_33.png,Energi dari lemak 60 kkal
data_for_train_model\text_34.png,Lemak total 7 g
data_for_train_model\text_35.png,Lemak jenuh 5 g
data_for_train_model\text_36.png,Kolesterol 25 mg
data_for_train_model\text_37.png,Karbohidrat total 9 g
data_for_train_model\text_38.png,Protein 6 g
data_for_train_model\text_39.png,Natrium 115 mg
data_for_train_model\text_40.png,Jumlah Per Sajian (40 g)
data_for_train_model\text_41.png,Energi 160 kkal
data_for_train_model\text_42.png,Lemak total 4 g
data_for_train_model\text_43.png,Karbohidrat total 24 g
data_for_train_model\text_44.png,Protein 6 g
data_for_train_model\text_45.png,Natrium 75 mg
data_for_train_model\text_46.png,Energi 0 kkal
data_for_train_model\text_47.png,Lemak total 0 g
data_for_train_model\text_48.png,Karbohidrat total 0 g
data_for_train_model\text_49.png,Protein 0 g
data_for_train_model\text_50.png,Natrium 0 mg
data_for_train_model\text_51.png,Energi 110 kkal
data_for_train_model\text_52.png,Lemak total 1.50 g
data_for_train_model\text_53.png,Karbohidrat total 22 g
data_for_train_model\text_54.png,Protein 1 g
data_for_train_model\text_55.png,Natrium 110 mg
data_for_train_model\text_56.png,Energi 260 kkal
data_for_train_model\text_57.png,Lemak total 10 g
data_for_train_model\text_58.png,Karbohidrat total 34 g
data_for_train_model\text_59.png,Protein 10 g
data_for_train_model\text_60.png,Natrium 150 mg
data_for_train_model\text_61.png,Energi 240 kkal
data_for_train_model\text_62.png,Lemak total 8 g
data_for_train_model\text_63.png,Karbohidrat total 33 g
data_for_train_model\text_64.png,Protein 9 g
data_for_train_model\text_65.png,Natrium 100 mg
data_for_train_model\text_66.png,Jumlah Per Sajian (250 ml)
data_for_train_model\text_67.png,Energi 180 kkal
data_for_train_model\text_68.png,Lemak total 2 g
data_for_train_model\text_69.png,Karbohidrat total 32 g
data_for_train_model\text_70.png,Protein 6 g
data_for_train_model\text_71.png,Serat pangan 26 g
data_for_train_model\text_72.png,Natrium 0 mg
data_for_train_model\text_73.png,Energi 70 kkal
data_for_train_model\text_74.png,Energi dari lemak 15 kkal
data_for_train_model\text_75.png,Lemak total 2 g
data_for_train_model\text_76.png,Gula 7 g
data_for_train_model\text_77.png,Karbohidrat total 12 g
data_for_train_model\text_78.png,Protein 2 g
data_for_train_model\text_79.png,Natrium 60 mg
data_for_train_model\text_80.png,Kalium 100 mg
data_for_train_model\text_81.png,Energi 70 kkal
data_for_train_model\text_82.png,Lemak total 2 g
data_for_train_model\text_83.png,Karbohidrat total 11 g
data_for_train_model\text_84.png,Protein 2 g
data_for_train_model\text_85.png,Natrium 60 mg
data_for_train_model\text_86.png,Energi 70 kkal
data_for_train_model\text_87.png,Energi dari lemak 15 kkal
data_for_train_model\text_88.png,Lemak total 1.50 g
data_for_train_model\text_89.png,Gula 9 g
data_for_train_model\text_90.png,Karbohidrat total 12 g
data_for_train_model\text_91.png,Protein 2 g
data_for_train_model\text_92.png,Natrium 60 mg
data_for_train_model\text_93.png,Kalium 105 mg
data_for_train_model\text_94.png,Jumlah Per Sajian (30 g)
data_for_train_model\text_95.png,Energi 120 kkal
data_for_train_model\text_96.png,Lemak total 4 g
data_for_train_model\text_97.png,Karbohidrat total 15 g
data_for_train_model\text_98.png,Protein 6 g
data_for_train_model\text_99.png,Natrium 0 mg
data_for_train_model\text_100.png,Jumlah Per Sajian (22 g)
data_for_train_model\text_101.png,Energi 80 kkal
data_for_train_model\text_102.png,Lemak total 0 g
data_for_train_model\text_103.png,Gula 9 g
data_for_train_model\text_104.png,Karbohidrat total 16 g
data_for_train_model\text_105.png,Protein 0 g
data_for_train_model\text_106.png,Serat pangan 6 g
data_for_train_model\text_107.png,Natrium 55 mg
data_for_train_model\text_108.png,Energi 120 kkal
data_for_train_model\text_109.png,Energi dari lemak 50 kkal
data_for_train_model\text_110.png,Lemak total 6 g
data_for_train_model\text_111.png,Lemak jenuh 3 g
data_for_train_model\text_112.png,Gula 11 g
data_for_train_model\text_113.png,Kolesterol 20 mg
data_for_train_model\text_114.png,Karbohidrat total 14 g
data_for_train_model\text_115.png,Protein 5 g
data_for_train_model\text_116.png,Natrium 90 mg
data_for_train_model\text_117.png,Jumlah Per Sajian (25 g)
data_for_train_model\text_118.png,Energi 120 kkal
data_for_train_model\text_119.png,Lemak total 7 g
data_for_train_model\text_120.png,Karbohidrat total 10 g
data_for_train_model\text_121.png,Protein 6 g
data_for_train_model\text_122.png,Natrium 90 mg
data_for_train_model\text_123.png,Energi 160 kkal
data_for_train_model\text_124.png,Energi dari lemak 60 kkal
