Jumlah Sajian Per Kemasan,Energi,Lemak total,Lemak jenuh,Gula,Karbohidrat total,Protein,Serat pangan,Natrium,Jumlah Per Sajian,Energi dari lemak,Kolesterol,Kalium
± 1,120 kkal,2.50 g,2 g,17 g,23 g,1 g,2 g,20 mg,,,,
1,130 kkal,2.50 g,,,27 g,1 g,,15 mg,,,,
1,140 kkal,0 g,,,34 g,0 g,,0 mg,(250 ml),,,
1,160 kkal,0 g,,,36 g,2 g,,0 mg,(250 ml),,,
± 8,190 kkal,4.50 g,,,28 g,9 g,,160 mg,(46 g),,,
1,120 kkal,7 g,5 g,,9 g,6 g,,115 mg,(189 g),60 kkal,25 mg,
8,160 kkal,4 g,,,24 g,6 g,,75 mg,(40 g),,,
0,0 kkal,0 g,,,0 g,0 g,,0 mg,,,,
1,120 kkal,2.50 g,,18 g,23 g,2 g,,100 mg,(28 g),20 kkal,,
1,110 kkal,1.50 g,,,22 g,1 g,,110 mg,,,,
1,260 kkal,10 g,,,34 g,10 g,,150 mg,,,,
± 1,240 kkal,8 g,,,33 g,9 g,,100 mg,,,,
1,180 kkal,2 g,,,32 g,6 g,26 g,0 mg,(250 ml),,,
± 1,70 kkal,2 g,,7 g,12 g,2 g,,60 mg,,15 kkal,,100 mg
± 1,70 kkal,2 g,,,11 g,2 g,,60 mg,,,,
± 1,70 kkal,1.50 g,,9 g,12 g,2 g,,60 mg,,15 kkal,,105 mg
6,120 kkal,4 g,,,15 g,6 g,,0 mg,(30 g),,,
5,80 kkal,0 g,,9 g,16 g,0 g,6 g,55 mg,(22 g),,,
1,120 kkal,6 g,3 g,11 g,14 g,5 g,,90 mg,,50 kkal,20 mg,
32,120 kkal,7 g,,,10 g,6 g,,90 mg,(25 g),,,
